Recency,Frequency,Monetary,Cluster,Customer_ID
103,3,1753,0,436
659,3,2902,3,437
78,4,2312,0,438
317,3,1664,0,439
406,5,2779,4,440
218,5,4255,1,441
332,3,3823,4,442
411,5,1799,4,443
102,6,4918,1,444
515,5,4364,4,445
48,7,5770,1,446
537,2,3481,3,447
112,3,1619,0,448
95,5,3128,1,449
408,8,6169,2,450
91,6,4863,1,451
24,7,3679,1,452
392,4,1599,0,453
427,5,2245,4,454
117,4,3755,0,455
232,2,1368,0,456
134,5,4531,1,457
75,3,2243,0,458
413,4,2998,4,459
16,8,5625,2,460
24,3,1664,0,461
40,7,6755,2,462
379,4,4989,4,463
123,4,2808,0,464
960,3,1262,3,465
792,3,3536,3,466
8,5,1627,0,467
254,5,3343,1,468
617,6,4627,4,469
156,4,1475,0,470
88,7,6703,2,471
106,5,2797,1,472
365,6,3259,4,473
285,6,6739,1,474
176,2,1270,0,475
52,2,1477,0,476
192,2,694,0,477
792,4,2401,3,478
618,3,2961,3,479
2,3,619,0,480
244,5,4272,1,481
170,6,3014,1,482
302,8,4369,1,483
274,7,6838,2,484
245,8,6896,2,485
29,10,7081,2,486
864,2,378,3,487
235,8,5642,2,488
372,8,6475,2,489
675,4,2970,4,490
432,4,5529,4,491
61,8,5454,2,492
207,8,4838,1,493
476,2,1237,3,494
155,4,3074,0,495
307,4,2617,0,496
119,9,6637,2,497
239,3,1606,0,498
48,8,4406,1,499
55,5,5713,1,500
512,3,1569,3,501
130,4,3891,1,502
56,7,5805,1,503
419,5,2734,4,504
44,10,5308,2,505
453,5,3939,4,506
779,5,2632,3,507
259,4,2951,0,508
623,3,1774,3,509
428,7,5316,4,510
190,5,2638,0,511
615,1,1484,3,512
4,5,3778,1,513
200,3,1527,0,514
310,3,908,0,515
41,6,7310,2,516
146,4,4136,1,517
466,7,5979,4,518
340,4,2713,0,519
303,4,3585,4,520
177,5,4765,1,521
375,5,4026,4,522
830,5,4457,4,523
43,7,8464,2,524
163,5,2968,1,525
10,8,4738,1,526
172,6,6463,1,527
330,4,5544,4,528
244,5,1487,0,529
52,9,6240,2,530
365,3,2344,0,531
865,5,2915,3,532
19,8,4470,1,533
46,8,6286,2,534
169,3,871,0,535
596,6,5117,4,536
278,2,2236,0,537
340,7,3735,1,538
107,13,11712,2,539
299,5,2003,0,540
116,3,1185,0,541
163,6,3494,1,542
23,4,3103,0,543
296,3,426,0,544
243,5,4279,1,545
125,5,3868,1,546
65,6,4793,1,547
91,8,8058,2,548
337,4,1953,0,549
774,3,2274,3,550
71,6,6121,1,551
108,1,690,0,552
1148,3,2011,3,553
120,4,2860,0,554
116,10,4840,2,555
994,2,1364,3,556
38,5,2349,0,557
39,3,2312,0,558
268,5,4823,1,559
139,4,5405,1,560
391,7,3888,4,561
542,2,2372,3,562
26,7,6188,2,563
635,2,3090,3,564
146,7,4279,1,565
171,4,1561,0,566
88,6,6330,1,567
208,6,4154,1,568
43,4,4082,1,569
300,4,1497,0,570
542,1,614,3,571
129,8,4664,1,572
293,8,5212,2,573
334,5,2691,4,574
187,6,4424,1,575
156,3,1127,0,576
68,6,6710,1,577
309,5,5112,4,578
86,10,6983,2,579
511,8,4340,4,580
359,4,3364,4,581
382,5,2243,4,582
119,4,2245,0,583
320,3,1620,0,585
335,5,3229,4,586
596,6,4542,4,587
115,3,1516,0,588
52,7,3550,1,589
429,4,4188,4,590
61,3,2491,0,591
722,4,3686,4,592
271,4,1110,0,593
198,10,8049,2,594
43,5,6371,1,595
376,3,3054,0,596
122,3,1644,0,597
270,9,6091,2,598
265,5,5397,1,599
579,5,2946,4,600
496,5,3839,4,601
639,5,5374,4,602
35,4,1215,0,603
471,2,741,3,604
94,3,1004,0,605
27,5,5105,1,606
425,5,4026,4,607
167,5,3633,1,608
23,7,5510,1,609
1283,1,1908,3,610
222,2,1775,0,611
1023,2,233,3,612
791,4,5313,4,614
88,8,9168,2,615
423,4,4295,4,616
839,2,1307,3,617
223,9,4731,2,618
611,4,2676,4,619
208,2,2458,0,620
36,3,3376,0,621
190,2,2604,0,622
37,3,2305,0,623
427,3,1742,0,624
51,9,6726,2,625
571,2,3065,3,626
157,4,2706,0,627
359,4,3255,4,628
639,2,1780,3,629
39,10,7445,2,630
300,5,5561,1,631
49,5,1908,0,632
60,6,6400,1,633
83,9,8027,2,634
112,5,2309,0,635
418,3,2201,0,636
18,6,5034,1,637
72,3,3096,0,638
303,2,1020,0,639
36,9,6128,2,640
35,6,4600,1,641
72,4,2336,0,642
6,4,1429,0,643
121,8,4916,1,644
17,6,4072,1,645
519,3,4312,4,646
1200,1,236,3,647
4,5,3361,1,648
310,5,3233,4,649
100,7,7282,2,650
70,10,11169,2,651
128,5,3174,1,652
223,2,2027,0,653
640,3,2558,3,654
275,8,9755,2,655
1006,6,3627,3,656
111,3,1740,0,658
443,5,1246,4,659
399,6,1891,4,660
601,3,2142,3,661
91,4,952,0,662
108,10,6325,2,663
573,6,3576,4,664
248,5,4463,1,665
213,4,3137,0,666
129,3,2286,0,667
248,10,8318,2,668
128,9,5380,2,669
186,3,1782,0,670
266,7,5952,2,671
237,4,3685,0,672
62,1,1464,0,673
51,7,7268,2,674
154,3,2095,0,675
579,5,3253,4,676
64,6,4186,1,677
72,8,4444,1,678
338,5,3564,4,679
208,3,1067,0,680
698,2,2088,3,681
107,7,4323,1,682
27,6,4341,1,683
490,6,1806,4,684
9,3,3921,0,685
840,2,3126,3,686
51,2,1111,0,687
57,1,888,0,688
16,4,4506,1,689
318,3,2282,0,690
268,3,4680,4,691
99,5,1349,0,692
423,3,2895,4,693
771,4,2344,3,694
314,4,3715,4,695
1036,1,268,3,696
357,6,3361,4,697
475,6,1780,4,698
297,7,6082,2,699
1000,3,2599,3,700
30,2,3426,0,701
187,5,2890,0,702
1236,2,1478,3,703
191,4,1947,0,704
178,7,7627,2,705
435,4,3754,4,706
424,5,6047,4,707
288,6,4320,1,708
445,5,2890,4,709
104,7,9111,2,710
127,7,4993,1,711
115,6,1712,0,712
906,3,2699,3,713
122,7,5658,1,714
127,6,4236,1,715
1230,1,384,3,716
204,4,4555,1,717
692,3,1180,3,718
121,5,4234,1,719
230,6,4213,1,720
669,3,843,3,721
171,8,7060,2,722
524,8,7282,2,723
333,3,736,0,724
508,4,4079,4,725
201,4,4166,1,726
324,3,3579,0,727
160,4,4076,1,728
111,5,3204,1,729
66,12,11914,2,730
359,3,1302,0,731
107,7,8588,2,732
362,5,5704,4,733
291,7,4516,1,734
50,5,1832,0,735
178,5,2311,0,736
209,5,3240,1,737
232,3,1492,0,738
623,5,5219,4,739
67,9,4870,2,740
16,3,1892,0,741
10,5,4261,1,742
388,10,8125,2,743
106,4,2882,0,744
645,3,3565,3,745
14,5,1510,0,746
69,5,3969,1,747
393,5,1621,4,748
39,7,4139,1,749
204,2,2430,0,750
427,4,3028,4,751
84,5,3894,1,752
695,4,2622,3,753
27,5,5334,1,754
137,4,690,0,755
306,4,2389,0,756
665,2,869,3,757
433,4,2898,4,758
1296,1,472,3,759
178,2,1232,0,760
64,9,4804,2,761
286,8,8129,2,762
512,4,1714,4,763
36,6,7603,2,764
41,4,1855,0,765
51,9,4690,2,766
440,6,3562,4,767
248,7,4955,1,768
868,4,2438,3,769
55,6,3881,1,770
465,4,3437,4,771
24,4,3768,1,772
157,4,1214,0,773
158,7,4614,1,774
539,3,4197,4,775
319,6,7784,2,776
331,5,4307,4,777
448,3,3326,4,778
152,3,1628,0,779
237,1,66,0,780
55,7,5459,1,781
153,3,425,0,782
250,4,3498,0,783
390,4,2258,0,784
208,5,4957,1,785
200,4,3324,0,786
479,1,724,3,787
204,5,3897,1,788
373,2,886,0,789
23,5,4886,1,790
103,7,5801,1,791
243,3,1908,0,792
484,3,3570,4,793
313,7,7093,2,794
772,4,2765,3,795
514,1,902,3,797
5,5,5760,1,798
122,6,5412,1,799
150,10,8277,2,800
582,3,1844,3,801
992,4,4482,3,802
101,7,2430,1,803
856,3,1388,3,804
171,7,7244,2,805
270,4,2232,0,806
25,7,3867,1,807
464,3,1158,0,808
28,5,6883,1,809
98,8,3740,1,810
89,4,2842,0,811
422,6,3771,4,812
115,2,912,0,813
292,5,5750,1,814
282,2,691,0,815
188,4,2139,0,816
856,5,3774,4,817
3,7,4689,1,818
37,5,3678,1,819
46,8,5116,1,820
490,6,4768,4,821
34,5,3234,1,822
44,4,4564,1,823
583,3,2950,3,824
206,6,3606,1,825
131,3,798,0,826
38,9,5415,2,827
53,3,1525,0,828
139,4,1060,0,829
57,3,2328,0,830
107,4,1968,0,831
78,5,4061,1,833
293,3,2116,0,834
228,5,2817,0,835
254,8,5427,2,836
159,2,1136,0,837
62,5,6136,1,838
367,8,4565,1,839
598,7,3892,4,840
89,4,4196,1,841
10,13,12506,2,842
125,4,1074,0,843
321,3,4731,4,844
77,5,1021,0,845
823,3,2142,3,846
362,8,4332,1,847
284,8,7045,2,848
13,2,990,0,849
98,7,5913,1,850
283,5,1960,0,851
50,8,6157,2,852
528,6,5370,4,853
405,4,2078,0,854
219,4,1329,0,855
511,7,6068,4,856
58,8,3705,1,857
280,5,4263,1,858
154,3,4411,0,859
275,4,2315,0,860
154,5,4201,1,861
227,4,1671,0,862
31,5,4225,1,863
107,6,6054,1,864
148,7,4495,1,865
267,3,1545,0,866
871,2,3276,3,867
261,4,1513,0,868
241,3,1370,0,869
215,3,1848,0,870
189,9,6537,2,871
510,8,4385,4,872
101,8,3678,1,873
170,1,483,0,874
456,8,7927,2,875
476,4,973,0,876
373,4,4506,4,877
624,2,449,3,878
159,4,2035,0,879
261,10,6312,2,880
221,6,3425,1,881
123,4,4076,1,882
170,8,6090,2,883
462,2,868,3,884
511,1,1113,3,885
66,6,4460,1,886
691,3,923,3,887
178,6,4340,1,888
374,6,2610,4,889
434,5,5008,4,890
43,4,4015,1,891
49,10,9324,2,892
492,6,4075,4,893
239,7,5700,1,894
468,1,465,3,895
563,3,881,3,896
449,5,2890,4,897
439,1,266,3,898
159,4,2008,0,899
130,5,2842,1,900
291,4,3212,0,901
567,4,1005,3,902
240,6,6396,1,903
488,2,2424,3,904
90,4,1406,0,905
378,7,6004,2,906
173,5,4793,1,907
271,9,8710,2,908
350,4,2896,4,909
250,6,6144,1,910
34,5,4568,1,912
208,5,3799,1,913
73,4,3739,0,914
85,8,7038,2,915
635,3,2151,3,916
233,6,6081,1,917
19,5,4450,1,918
102,6,2958,1,919
406,7,5961,4,920
128,8,6323,2,921
64,7,6461,2,922
664,5,5988,4,923
205,6,6233,1,924
700,2,663,3,925
931,2,2058,3,926
3,7,3577,1,927
318,5,6114,1,928
66,5,5813,1,929
7,5,4774,1,930
152,7,4107,1,931
103,5,5435,1,932
304,6,7737,2,933
283,8,6165,2,934
198,7,6703,2,935
385,4,2100,0,936
739,2,3248,3,937
150,6,1871,1,938
27,4,2244,0,939
657,5,3607,4,940
27,8,3024,1,941
25,9,8669,2,942
312,10,10239,2,943
462,7,5852,4,944
498,5,3729,4,945
192,5,2492,0,946
45,6,3790,1,947
83,7,5820,1,948
184,2,247,0,949
281,4,3140,0,950
62,8,5000,1,951
153,2,1481,0,952
49,10,9436,2,953
137,8,8974,2,954
220,5,4362,1,955
95,5,5524,1,956
126,3,2814,0,957
261,4,2470,0,958
179,4,3454,0,959
68,4,2721,0,960
880,4,362,3,961
224,5,2375,0,962
157,6,4155,1,963
143,4,2545,0,964
75,6,5254,1,965
23,4,3271,0,966
148,5,4490,1,967
201,6,3395,1,968
195,2,231,0,969
159,6,8359,2,970
498,6,3822,4,971
28,7,7089,2,972
44,9,6824,2,973
81,6,3565,1,974
131,4,5209,1,975
617,4,4480,4,976
744,2,2750,3,977
63,3,5188,1,978
57,6,6563,1,979
179,3,2974,0,980
462,4,4729,4,981
387,5,5526,4,982
164,2,1320,0,983
98,3,2947,0,984
491,7,4423,4,985
104,5,6116,1,986
16,6,5639,1,987
66,7,5378,1,988
54,4,2255,0,989
77,9,6673,2,990
241,7,4472,1,991
274,8,5637,2,992
120,6,3508,1,993
95,4,2903,0,994
682,7,5433,4,995
231,5,3680,1,996
105,9,7256,2,997
145,5,3040,1,998
271,6,5502,1,999
18,7,5633,1,1000
302,3,453,0,1001
252,6,2296,1,1002
521,6,5981,4,1003
261,4,4465,4,1004
3,5,3326,1,1005
115,5,4817,1,1006
493,3,2941,4,1007
9,3,1757,0,1008
287,8,3267,1,1009
186,6,3129,1,1010
30,2,2083,0,1011
138,4,2531,0,1012
20,9,8211,2,1013
655,6,4649,4,1014
350,9,4634,2,1015
306,5,4563,4,1016
258,5,3644,1,1018
43,1,149,0,1019
321,5,6250,1,1020
70,4,2919,0,1021
94,5,4994,1,1022
140,9,9560,2,1023
199,5,7366,1,1024
194,3,3314,0,1025
108,9,7172,2,1026
81,5,6787,1,1027
5,5,4502,1,1028
397,3,1499,0,1029
203,1,1060,0,1030
300,3,1484,0,1031
375,4,2615,4,1032
83,6,3809,1,1033
97,3,1830,0,1034
32,11,10949,2,1035
118,8,6422,2,1036
176,5,3692,1,1037
972,2,1929,3,1038
561,4,3310,4,1039
537,1,1116,3,1040
35,9,8892,2,1041
596,2,985,3,1042
236,6,2590,1,1043
59,3,2931,0,1044
783,2,1035,3,1045
248,4,2739,0,1046
391,5,6798,4,1047
90,8,6300,2,1048
216,5,3141,1,1049
432,5,6578,4,1050
1045,2,288,3,1051
46,4,4067,1,1052
245,1,1855,0,1053
315,2,1806,0,1054
288,3,4649,4,1055
543,3,3589,4,1056
120,3,1840,0,1057
187,9,6807,2,1058
114,5,2320,0,1059
285,4,2759,0,1060
89,5,3508,1,1061
37,6,3112,1,1062
57,8,9034,2,1063
392,3,2592,0,1064
28,8,4597,1,1065
362,4,3942,4,1066
121,1,250,0,1067
1104,2,1910,3,1068
468,6,4841,4,1069
201,4,1324,0,1070
105,6,3222,1,1071
577,2,473,3,1072
660,5,2687,4,1073
43,5,2685,1,1074
16,3,3619,0,1075
114,11,6148,2,1076
103,6,5898,1,1077
771,3,948,3,1078
115,6,7254,2,1079
140,3,1698,0,1080
977,2,958,3,1081
44,7,4989,1,1082
98,4,6106,1,1083
145,7,6340,2,1084
215,4,1577,0,1085
552,5,4435,4,1086
783,5,4335,4,1087
367,5,4582,4,1088
192,4,3828,0,1089
271,3,4384,0,1090
37,4,2725,0,1091
104,4,1976,0,1092
506,5,5718,4,1093
341,8,5290,2,1094
164,3,3176,0,1095
327,3,2243,0,1096
219,4,3110,0,1097
97,5,2759,0,1098
523,7,5303,4,1099
70,8,6566,2,1100
58,3,2179,0,1101
425,3,2180,0,1102
154,4,883,0,1103
384,8,5176,2,1104
397,7,6400,2,1105
193,7,6415,2,1106
625,1,11,3,1107
656,4,1707,3,1108
218,5,2920,0,1109
140,5,4080,1,1110
453,4,3624,4,1111
294,2,1467,0,1112
284,6,7117,2,1113
899,2,968,3,1114
19,5,5063,1,1115
48,9,1630,1,1116
177,3,2184,0,1117
22,5,3098,1,1118
197,6,4479,1,1119
290,3,1387,0,1120
638,7,5370,4,1121
243,7,6820,2,1122
14,8,5400,2,1123
392,4,1186,0,1124
70,5,4219,1,1125
532,3,2962,4,1126
220,5,4549,1,1127
581,5,4828,4,1128
146,4,3549,0,1129
816,1,675,3,1130
29,5,6899,1,1131
212,4,3726,0,1132
81,9,9414,2,1133
54,5,3769,1,1134
79,7,2971,1,1135
914,3,2126,3,1136
805,1,865,3,1137
54,7,3803,1,1138
378,8,8420,2,1139
276,10,4563,2,1140
175,10,3587,2,1141
166,6,6493,1,1142
873,2,1581,3,1143
78,4,505,0,1144
236,2,2940,0,1145
4,3,3400,0,1146
536,2,3396,3,1147
268,5,2795,0,1148
721,2,1627,3,1149
220,3,3161,0,1150
508,3,1671,3,1151
326,5,3599,4,1152
209,5,2352,0,1153
22,2,1906,0,1154
53,5,2450,0,1155
242,4,5126,1,1156
214,7,5792,1,1157
216,5,3792,1,1158
17,4,2338,0,1159
55,5,2223,0,1160
58,4,2413,0,1161
153,4,2264,0,1162
34,8,6957,2,1163
495,3,1772,3,1164
43,4,5908,1,1165
261,4,3173,0,1166
339,3,2314,0,1167
82,7,6707,2,1168
54,9,7208,2,1169
199,5,1638,0,1170
124,6,5029,1,1171
135,5,5898,1,1172
582,4,2715,4,1173
61,3,2066,0,1174
117,3,1401,0,1175
144,7,3656,1,1176
211,7,6827,2,1177
11,7,5320,1,1178
296,5,3310,4,1180
465,2,696,3,1181
253,10,10320,2,1182
75,9,4966,2,1183
154,3,3092,0,1184
39,7,4062,1,1185
403,6,4170,4,1186
561,5,4617,4,1187
185,9,5197,2,1188
372,4,5255,4,1189
1029,1,921,3,1190
260,5,3360,1,1191
27,6,4997,1,1192
608,10,6767,2,1193
211,3,1117,0,1194
304,8,6345,2,1195
199,3,2138,0,1196
540,6,5204,4,1197
268,8,5366,2,1198
138,6,4264,1,1199
75,6,5935,1,1200
551,4,1708,4,1201
186,7,4526,1,1202
115,6,5974,1,1203
353,6,2897,4,1204
50,4,1820,0,1205
191,5,2335,0,1206
277,6,3934,1,1207
297,7,4680,1,1208
254,10,4369,2,1209
314,4,2602,0,1210
129,7,7276,2,1211
319,8,6058,2,1212
609,6,6277,4,1213
644,3,2065,3,1214
807,4,1837,3,1215
86,3,2376,0,1216
65,7,3828,1,1217
201,10,9620,2,1218
50,8,7422,2,1219
16,9,6010,2,1220
13,3,508,0,1221
174,5,3524,1,1222
286,9,7530,2,1223
187,4,1823,0,1224
1,6,4842,1,1225
260,11,11337,2,1226
702,2,654,3,1227
710,3,2263,3,1228
217,6,5777,1,1229
250,5,1930,0,1230
223,5,3157,1,1231
101,5,3378,1,1232
323,4,3930,4,1233
378,7,5594,1,1234
738,3,3855,3,1235
212,5,5483,1,1236
129,7,6461,2,1237
71,5,3802,1,1238
5,7,3009,1,1239
501,3,1922,3,1240
405,4,2884,4,1241
54,2,1264,0,1242
532,5,2400,4,1243
785,4,4271,4,1244
26,5,3933,1,1245
54,5,3016,1,1246
164,5,3627,1,1247
249,5,4908,1,1248
196,5,4272,1,1249
20,5,2761,1,1250
54,8,6425,2,1251
469,6,5129,4,1252
321,5,4899,4,1253
30,2,2541,0,1254
112,6,4207,1,1255
263,3,2992,0,1256
548,3,2610,3,1257
532,3,2100,3,1258
220,5,1071,0,1259
